os_varsham_code,os_ayanam_code,os_ruthu_code,os_masam_code,os_start_date,os_end_date,os_start_hour,os_start_mins,os_end_hour,os_end_mins
VWV,UTT,VAS,MES,20250413,20250514,21,36,18,25
VWV,UTT,VAS,VRU,20250514,20250615,18,25,0,54
VWV,UTT,GRE,MIT,20250615,20250716,0,54,11,38
VWV,DAK,GRE,KTK,20250716,20250816,11,38,19,54
VWV,DAK,VAR,SIM,20250816,20250916,19,54,19,46
VWV,DAK,VAR,KNY,20250916,20251017,19,46,7,44
VWV,DAK,SHA,TUL,20251017,20251116,7,44,7,37
VWV,DAK,SHA,VCH,20251116,20251215,7,37,22,23
VWV,DAK,HEM,DHA,20251215,20260114,22,23,9,14
VWV,UTT,HEM,MAK,20260114,20260212,9,14,22,20
VWV,UTT,SHI,KUM,20260212,20260314,22,20,19,17
VWV,UTT,SHI,MNM,20260314,20260414,19,17,3,47
PAR,UTT,VAS,MES,20260414,20260515,3,47,0,35
PAR,UTT,VAS,VRU,20260515,20260615,0,35,7,3
PAR,UTT,GRE,MIT,20260615,20260716,7,3,17,45
PAR,DAK,GRE,KTK,20260716,20260817,17,45,2,0
PAR,DAK,VAR,SIM,20260817,20260917,2,0,1,51
PAR,DAK,VAR,KNY,20260917,20261017,1,51,13,50
PAR,DAK,SHA,TUL,20261017,20261116,13,50,13,43
PAR,DAK,SHA,VCH,20261116,20261216,13,43,4,28
PAR,DAK,HEM,DHA,20261216,20270114,4,28,15,17
PAR,UTT,HEM,MAK,20270114,20270213,15,17,4,20
PAR,UTT,SHI,KUM,20270213,20270315,4,20,1,14
PAR,UTT,SHI,MNM,20270315,20270414,1,14,9,43